ENST00000000233	P84085	ARF5_HUMAN
ENST00000471841	Q8IWA4	MFN1_HUMAN
ENST00000471857	A0A087WSZ0	KVD08_HUMAN
ENST00000471889	Q9Y2W3	S45A1_HUMAN
ENST00000472091	P60508	SYCY2_HUMAN
ENST00000472174	Q99437	VATO_HUMAN
ENST00000472487	Q5VVJ2	MYSM1_HUMAN
ENST00000472572	Q6UX73	CP089_HUMAN
ENST00000472644	Q13740	CD166_HUMAN
ENST00000472726	E7EVH7	E7EVH7_HUMAN
ENST00000472886	Q8NB59	SYT14_HUMAN
ENST00000473092	Q2T9K0	TMM44_HUMAN
ENST00000473183	Q9H6T0	ESRP2_HUMAN
ENST00000473363	V9GZ38	V9GZ38_HUMAN
ENST00000473414	Q86X83	COMD2_HUMAN
ENST00000473520	A0A1W2PR75	A0A1W2PR75_HUMAN
ENST00000473726	P01594	KV133_HUMAN
ENST00000473731	Q9ULH0	KDIS_HUMAN
ENST00000473835	O15042	SR140_HUMAN
ENST00000473942	Q9BW91	NUDT9_HUMAN
ENST00000473989	Q6ZU65	UBN2_HUMAN
ENST00000474037	Q8N782	ZN525_HUMAN
ENST00000474039	P20794	MAK_HUMAN
ENST00000474213	A0A075B6S6	KVD30_HUMAN
ENST00000474267	P41221	WNT5A_HUMAN
ENST00000474315	A0A087WZN1	A0A087WZN1_HUMAN
ENST00000474359	E9PIH7	E9PIH7_HUMAN
ENST00000474524	Q86YW9	MD12L_HUMAN
ENST00000474627	Q8N5M1	ATPF2_HUMAN
ENST00000474629	Q460N5	PAR14_HUMAN
ENST00000474710	Q9HC78	ZBT20_HUMAN
ENST00000474718	Q5T292	TM273_HUMAN
ENST00000474759	Q8IZS8	CA2D3_HUMAN
ENST00000474781	Q8NHQ1	CEP70_HUMAN
ENST00000474844	Q96CB9	NSUN4_HUMAN
ENST00000474879	Q9BU23	LMF2_HUMAN
ENST00000474889	P23470	PTPRG_HUMAN
ENST00000474905	Q8WXQ8	CBPA5_HUMAN
ENST00000475092	P0DN25	C1C1L_HUMAN
ENST00000475153	Q8TD17	ZN398_HUMAN
ENST00000475243	O95292	VAPB_HUMAN
ENST00000475381	Q6PIU2	NCEH1_HUMAN
ENST00000475541	Q9UJV8	PURG_HUMAN
ENST00000475668	O43451	MGA_HUMAN
ENST00000475866	E7ET48	E7ET48_HUMAN
ENST00000475887	E9PHI0	E9PHI0_HUMAN
ENST00000476120	Q14593	ZN273_HUMAN
ENST00000476166	P59646	FXYD4_HUMAN
ENST00000476279	O95178	NDUB2_HUMAN
ENST00000476287	Q96EK7	F120B_HUMAN
ENST00000476320	Q86T20	SIM29_HUMAN
ENST00000476371	O60783	RT14_HUMAN
ENST00000476379	Q9UFE4	CCD39_HUMAN
ENST00000476620	D6RIH7	D6RIH7_HUMAN
ENST00000476781	Q9HD33	RM47_HUMAN
ENST00000476832	Q9H553	ALG2_HUMAN
ENST00000476907	Q9H6E5	STPAP_HUMAN
ENST00000476941	P48995	TRPC1_HUMAN
ENST00000476993	Q6PCB0	VWA1_HUMAN
ENST00000477616	Q14003	KCNC3_HUMAN
ENST00000477703	Q8WVI0	SMIM4_HUMAN
ENST00000477717	Q9BVH7	SIA7E_HUMAN
ENST00000477737	Q502W6	VWA3B_HUMAN
ENST00000477847	Q5XKR9	F104B_HUMAN
ENST00000477853	Q8N766	EMC1_HUMAN
ENST00000477892	Q96A26	F162A_HUMAN
ENST00000477922	Q2M2H8	MGAL_HUMAN
ENST00000477973	Q8N488	RYBP_HUMAN
ENST00000478136	Q7Z5A9	TAFA1_HUMAN
ENST00000478244	Q6PH85	DCNL2_HUMAN
ENST00000478300	Q8TBG9	SYNPR_HUMAN
ENST00000478399	P54922	ADPRH_HUMAN
ENST00000478722	Q9NQX3	GEPH_HUMAN
ENST00000478753	Q99611	SPS2_HUMAN
ENST00000478945	Q7Z7J5	DPPA2_HUMAN
ENST00000478968	Q68CQ7	GL8D1_HUMAN
ENST00000479035	P62829	RL23_HUMAN
ENST00000479054	Q9Y2I1	NISCH_HUMAN
ENST00000479077	Q8TDU6	GPBAR_HUMAN
ENST00000479141	P09466	PAEP_HUMAN
ENST00000479191	A6NNX1	RIAD1_HUMAN
ENST00000479209	Q9Y6X1	SERP1_HUMAN
ENST00000479548	Q9NYP8	CU062_HUMAN
ENST00000479665	Q9H6S1	AZI2_HUMAN
ENST00000479817	S4R3G1	S4R3G1_HUMAN
ENST00000479870	Q9Y4C2	TCAF1_HUMAN
ENST00000479950	Q9Y530	OARD1_HUMAN
ENST00000479961	A0A0A6YYL1	A0A0A6YYL1_HUMAN
ENST00000479981	P04430	KV116_HUMAN
ENST00000480294	F8WBI7	F8WBI7_HUMAN
ENST00000480456	P57087	JAM2_HUMAN
ENST00000480492	A0A0C4DH73	KV112_HUMAN
ENST00000480687	Q9Y5P6	GMPPB_HUMAN
ENST00000480744	A0A0J9YXC7	A0A0J9YXC7_HUMAN
ENST00000480796	Q8WXH4	ASB11_HUMAN
ENST00000480798	O76096	CYTF_HUMAN
ENST00000480820	Q96IZ7	RSRC1_HUMAN
ENST00000480824	Q6UWU4	CF089_HUMAN
ENST00000480945	Q5TDH0	DDI2_HUMAN
ENST00000481034	O76003	GLRX3_HUMAN
ENST00000481138	Q6ZMW2	ZN782_HUMAN
ENST00000481195	P67775	PP2AA_HUMAN
ENST00000481247	Q96Q07	BTBD9_HUMAN
ENST00000481345	O60896	RAMP3_HUMAN
ENST00000481490	O95073	FSBP_HUMAN
ENST00000481752	P16333	NCK1_HUMAN
ENST00000481799	Q4G0N0	GGTA1_HUMAN
ENST00000481882	A6PVL3	KNCN_HUMAN
ENST00000481909	Q9H8K7	PAAT_HUMAN
ENST00000482026	P35503	UD13_HUMAN
ENST00000482387	A0A2U3TZK7	A0A2U3TZK7_HUMAN
ENST00000482457	P51504	ZNF80_HUMAN
ENST00000482769	A0A075B6P5	KV228_HUMAN
ENST00000482796	H7C4K7	H7C4K7_HUMAN
ENST00000483063	Q9NR33	DPOE4_HUMAN
ENST00000483158	P04433	KV311_HUMAN
ENST00000483233	Q96IU4	ABHEB_HUMAN
ENST00000483238	O60393	NOBOX_HUMAN
ENST00000483273	A0A096LP55	QCR6L_HUMAN
ENST00000483379	A0A075B6S4	KVD17_HUMAN
ENST00000483466	Q96QZ7	MAGI1_HUMAN
ENST00000483722	Q5T2D2	TRML2_HUMAN
ENST00000483725	Q6ZU52	K0408_HUMAN
ENST00000483754	H3BRJ5	H3BRJ5_HUMAN
ENST00000483851	O60902	SHOX2_HUMAN
ENST00000484259	Q16595	FRDA_HUMAN
ENST00000484302	P17509	HXB6_HUMAN
ENST00000484310	Q6UX65	DRAM2_HUMAN
ENST00000484457	Q9UKC9	FBXL2_HUMAN
ENST00000484532	K7EKS7	K7EKS7_HUMAN
ENST00000484558	Q8WYQ3	CHC10_HUMAN
ENST00000484800	Q7L590	MCM10_HUMAN
ENST00000484817	A0A0C4DH68	KV224_HUMAN
ENST00000484928	Q96HP8	T176A_HUMAN
ENST00000485028	Q96P31	FCRL3_HUMAN
ENST00000485079	H0YJ60	H0YJ60_HUMAN
ENST00000485303	Q9NQS3	NECT3_HUMAN
ENST00000485386	Q9HBF5	ST20_HUMAN
ENST00000485419	B3KU38	IQIP1_HUMAN
ENST00000485713	P04920	B3A2_HUMAN
ENST00000485876	O95167	NDUA3_HUMAN
ENST00000485960	Q8TC07	TBC15_HUMAN
ENST00000485972	Q00535	CDK5_HUMAN
ENST00000486180	J3KR48	J3KR48_HUMAN
ENST00000486257	Q495A1	TIGIT_HUMAN
ENST00000486333	Q8IX94	CTGE4_HUMAN
ENST00000486442	Q96CT2	KLH29_HUMAN
ENST00000486479	P0C7V6	SP202_HUMAN
ENST00000486577	C9J9Y7	C9J9Y7_HUMAN
ENST00000486685	Q86UF1	TSN33_HUMAN
ENST00000486715	Q96RP9	EFGM_HUMAN
ENST00000486811	Q8TBJ5	FEZF2_HUMAN
ENST00000486975	B4DFI2	B4DFI2_HUMAN
ENST00000487099	Q15406	NR6A1_HUMAN
ENST00000487137	Q86UP0	CAD24_HUMAN
ENST00000487179	P0CG41	CTGE8_HUMAN
ENST00000487349	A6NK59	ASB14_HUMAN
ENST00000487416	Q9BQ49	SMIM7_HUMAN
ENST00000487418	A0A0A0MT83	A0A0A0MT83_HUMAN
ENST00000487519	Q00059	TFAM_HUMAN
ENST00000487903	P98196	AT11A_HUMAN
ENST00000487941	P0DMU8	CT455_HUMAN
ENST00000488031	Q8N660	NBPFF_HUMAN
ENST00000488034	O60888	CUTA_HUMAN
ENST00000488254	Q14978	NOLC1_HUMAN
ENST00000488336	Q8NCB2	CAMKV_HUMAN
ENST00000488417	Q6P1W5	CA094_HUMAN
ENST00000488423	Q96FX2	DPH3_HUMAN
ENST00000488476	A0A0A0MT81	A0A0A0MT81_HUMAN
ENST00000488633	O76071	CIAO1_HUMAN
ENST00000488788	S4R3F8	S4R3F8_HUMAN
ENST00000489090	P0DN84	DWORF_HUMAN
ENST00000489294	Q8TAS1	UHMK1_HUMAN
ENST00000489418	Q14493	SLBP_HUMAN
ENST00000489671	Q14188	TFDP2_HUMAN
ENST00000489686	A0A087WXS6	A0A087WXS6_HUMAN
ENST00000489711	Q16348	S15A2_HUMAN
ENST00000490035	Q13449	LSAMP_HUMAN
ENST00000490067	Q8TDW4	ST7L_HUMAN
ENST00000490103	Q13769	THOC5_HUMAN
ENST00000490107	Q9H7B4	SMYD3_HUMAN
ENST00000490341	Q9H853	TBA4B_HUMAN
ENST00000490491	U3KQ54	U3KQ54_HUMAN
ENST00000490531	O15069	NACAD_HUMAN
ENST00000490574	Q92734	TFG_HUMAN
ENST00000490594	H0Y9P7	H0Y9P7_HUMAN
ENST00000490605	Q8IXR5	F178B_HUMAN
ENST00000490623	V9GY48	V9GY48_HUMAN
ENST00000490686	P01599	KV117_HUMAN
ENST00000490799	Q96RN1	S26A8_HUMAN
ENST00000490879	Q5VX52	SPAT1_HUMAN
ENST00000491114	R4GMQ9	R4GMQ9_HUMAN
ENST00000491143	O95948	ONEC2_HUMAN
ENST00000491148	P15086	CBPB1_HUMAN
ENST00000491165	C9JBW0	C9JBW0_HUMAN
ENST00000491306	P61513	RL37A_HUMAN
ENST00000491415	Q68CQ4	UTP25_HUMAN
ENST00000491431	Q8N393	ZN786_HUMAN
ENST00000491614	Q9UKK9	NUDT5_HUMAN
ENST00000491677	Q9UII6	DS13B_HUMAN
ENST00000491935	Q16186	ADRM1_HUMAN
ENST00000491959	Q8TCW7	ZPLD1_HUMAN
ENST00000491977	A0A075B6S2	KVD29_HUMAN
ENST00000492112	O75494	SRS10_HUMAN
ENST00000492167	P01619	KV320_HUMAN
ENST00000492200	A0PG75	PLS5_HUMAN
ENST00000492259	D6RA96	D6RA96_HUMAN
ENST00000492406	Q9BS91	S35A5_HUMAN
ENST00000492446	P01601	KVD16_HUMAN
ENST00000492450	Q2M3W8	ZN181_HUMAN
ENST00000492590	P49789	FHIT_HUMAN
ENST00000492595	Q96IW7	SC22A_HUMAN
ENST00000492622	Q9Y2H6	FND3A_HUMAN
ENST00000492661	P08473	NEP_HUMAN
ENST00000493037	Q96NL0	RUN3B_HUMAN
ENST00000493111	Q9BXJ8	TACAN_HUMAN
ENST00000493196	P57060	RWD2B_HUMAN
ENST00000493333	Q7Z309	PBIR2_HUMAN
ENST00000493422	P09210	GSTA2_HUMAN
ENST00000493429	P19801	AOC1_HUMAN
ENST00000493442	Q6PEV8	F199X_HUMAN
ENST00000493662	A0A024RCV8	A0A024RCV8_HUMAN
ENST00000493678	Q99497	PARK7_HUMAN
ENST00000493763	Q6DKI1	RL7L_HUMAN
ENST00000493819	A0A0C4DH69	KV109_HUMAN
ENST00000493964	Q9C0B2	CFA74_HUMAN
ENST00000494076	Q969Z0	FAKD4_HUMAN
ENST00000494082	Q5STR5	SIM40_HUMAN
ENST00000494292	Q03112	MECOM_HUMAN
ENST00000494383	H0Y858	H0Y858_HUMAN
ENST00000494426	O95833	CLIC3_HUMAN
ENST00000494664	Q9NPL8	TIDC1_HUMAN
ENST00000494792	H3BQF6	H3BQF6_HUMAN
ENST00000494796	A0A087X0F8	A0A087X0F8_HUMAN
ENST00000494857	P52569	CTR2_HUMAN
ENST00000495027	E9PG32	E9PG32_HUMAN
ENST00000495075	P82650	RT22_HUMAN
ENST00000495186	Q15125	EBP_HUMAN
ENST00000495204	P47736	RPGP1_HUMAN
ENST00000495273	Q9Y6N7	ROBO1_HUMAN
ENST00000495276	Q53H96	P5CR3_HUMAN
ENST00000495313	H7C5E9	H7C5E9_HUMAN
ENST00000495461	Q9Y6D0	SELK_HUMAN
ENST00000495489	A0A0C4DH67	KV108_HUMAN
ENST00000495514	Q9BWV1	BOC_HUMAN
ENST00000495827	Q5VWC8	HACD4_HUMAN
ENST00000495880	Q16829	DUS7_HUMAN
ENST00000495893	Q8NDX5	PHC3_HUMAN
ENST00000496166	P48736	PK3CG_HUMAN
ENST00000496168	P01602	KV105_HUMAN
ENST00000496259	A0A0C4DH65	A0A0C4DH65_HUMAN
ENST00000496384	H7C560	H7C560_HUMAN
ENST00000496391	Q9H875	PKRI1_HUMAN
ENST00000496455	P49915	GUAA_HUMAN
ENST00000496514	P35913	PDE6B_HUMAN
ENST00000496613	Q9ULE3	DEN2A_HUMAN
ENST00000496634	H3BRB1	H3BRB1_HUMAN
ENST00000496770	Q8NAU1	FNDC5_HUMAN
ENST00000496811	Q9H2U1	DHX36_HUMAN
ENST00000496856	Q9UID6	ZN639_HUMAN
ENST00000496902	P49640	EVX1_HUMAN
ENST00000497194	G3V1C5	G3V1C5_HUMAN
ENST00000497454	O15211	RGL2_HUMAN
ENST00000497473	Q2TAA2	IAH1_HUMAN
ENST00000497524	P30556	AGTR1_HUMAN
ENST00000497547	P56182	RRP1_HUMAN
ENST00000497571	Q99612	KLF6_HUMAN
ENST00000497771	Q6JVE6	LCN10_HUMAN
ENST00000497872	A0A286YEY5	A0A286YEY5_HUMAN
ENST00000497933	Q6ZSA7	LRC55_HUMAN
ENST00000498165	Q5SGD2	PPM1L_HUMAN
ENST00000498181	Q96F15	GIMA5_HUMAN
ENST00000498273	Q5T7N2	LITD1_HUMAN
ENST00000498285	L7N2F9	L7N2F9_HUMAN
ENST00000498286	Q9Y2Z2	MTO1_HUMAN
ENST00000498435	A0A075B6S5	KV127_HUMAN
ENST00000498508	Q92786	PROX1_HUMAN
ENST00000498574	P01597	KV139_HUMAN
ENST00000498678	P14651	HXB3_HUMAN
ENST00000498697	H7C5G6	H7C5G6_HUMAN
ENST00000498707	Q9P2N4	ATS9_HUMAN
ENST00000498737	P56556	NDUA6_HUMAN
ENST00000498907	P49715	CEBPA_HUMAN
ENST00000498926	Q96HS1	PGAM5_HUMAN
ENST00000499023	O43660	PLRG1_HUMAN
ENST00000499666	Q9UHA4	LTOR3_HUMAN
ENST00000500692	P46926	GNPI1_HUMAN
ENST00000500704	Q70EL2	UBP45_HUMAN
ENST00000500893	Q9NUD5	ZCHC3_HUMAN
ENST00000500968	Q70EK9	UBP51_HUMAN
ENST00000501403	D6RAM3	D6RAM3_HUMAN
ENST00000502294	Q6MZM9	PRR27_HUMAN
ENST00000502346	Q8TBQ9	KISHA_HUMAN
ENST00000502486	Q6ZU67	BEND4_HUMAN
ENST00000502506	K7EP87	K7EP87_HUMAN
ENST00000502527	P13611	CSPG2_HUMAN
ENST00000502553	P26639	SYTC_HUMAN
ENST00000502583	Q8TC20	CAGE1_HUMAN
ENST00000502613	Q9NSY1	BMP2K_HUMAN
ENST00000502613	H0Y9P1	H0Y9P1_HUMAN
ENST00000502620	D6RF27	D6RF27_HUMAN
ENST00000502664	P06028	GLPB_HUMAN
ENST00000502717	Q12766	HMGX3_HUMAN
ENST00000502732	P42684	ABL2_HUMAN
ENST00000502773	Q9NRA1	PDGFC_HUMAN
ENST00000502783	B7Z4T2	B7Z4T2_HUMAN
ENST00000502798	Q496J9	SV2C_HUMAN
ENST00000502935	Q9NQW7	XPP1_HUMAN
ENST00000502976	P62633	CNBP_HUMAN
ENST00000502978	A0A0A6YYJ0	A0A0A6YYJ0_HUMAN
ENST00000502994	Q86VV4	RNB3L_HUMAN
ENST00000503008	Q8TCQ1	MARH1_HUMAN
ENST00000503032	A6NK02	TRI75_HUMAN
ENST00000503143	Q8TF63	DCNP1_HUMAN
ENST00000503173	A6NNP5	CC169_HUMAN
ENST00000503176	Q15119	PDK2_HUMAN
ENST00000503184	A0A1W2PPW3	TFKLL_HUMAN
ENST00000503292	Q9P2K1	C2D2A_HUMAN
ENST00000503335	Q96KG7	MEG10_HUMAN
ENST00000503362	P61009	SPCS3_HUMAN
ENST00000503366	Q12955	ANK3_HUMAN
ENST00000503393	P78314	3BP2_HUMAN
ENST00000503423	D6RHE1	D6RHE1_HUMAN
ENST00000503462	H0Y9M2	H0Y9M2_HUMAN
ENST00000503585	Q8N7B6	PACRL_HUMAN
ENST00000503640	P0DTE4	UD2A1_HUMAN
ENST00000503687	E9PHB8	E9PHB8_HUMAN
ENST00000503752	Q96LW4	PRIPO_HUMAN
ENST00000503771	Q8WZ71	TM158_HUMAN
ENST00000503781	Q9H5I5	PIEZ2_HUMAN
ENST00000503787	Q8TED1	GPX8_HUMAN
ENST00000503804	Q96C74	ROP1L_HUMAN
ENST00000503837	O94813	SLIT2_HUMAN
ENST00000503860	O14625	CXL11_HUMAN
ENST00000503906	H0YAA0	H0YAA0_HUMAN
ENST00000504030	P46098	5HT3A_HUMAN
ENST00000504061	A0A0G2JKI4	A0A0G2JKI4_HUMAN
ENST00000504087	Q9ULJ7	ANR50_HUMAN
ENST00000504104	Q0WX57	U17LO_HUMAN
ENST00000504110	Q8WVX3	CD003_HUMAN
ENST00000504119	A0A1B0GTB2	TUNAR_HUMAN
ENST00000504120	Q9Y5I3	PCDA1_HUMAN
ENST00000504148	Q9Y5J9	TIM8B_HUMAN
ENST00000504169	Q9NXV6	CARF_HUMAN
ENST00000504209	D6R9N7	U17LI_HUMAN
ENST00000504273	Q9H3E2	SNX25_HUMAN
ENST00000504329	A8MSY1	A8MSY1_HUMAN
ENST00000504449	A6NKN8	PC4L1_HUMAN
ENST00000504452	Q9NQV8	PRDM8_HUMAN
ENST00000504481	Q0WX57	U17LO_HUMAN
ENST00000504543	Q0WX57	U17LO_HUMAN
ENST00000504548	Q53EQ6	TIGD5_HUMAN
ENST00000504595	Q9UJT9	FBXL7_HUMAN
ENST00000504652	Q9Y4B6	DCAF1_HUMAN
ENST00000504686	Q9NZH5	PTTG2_HUMAN
ENST00000504750	Q64ET8	FRG2_HUMAN
ENST00000504771	O95379	TFIP8_HUMAN
ENST00000504825	P02814	SMR3B_HUMAN
ENST00000504830	P58397	ATS12_HUMAN
ENST00000504924	Q9NXU5	ARL15_HUMAN
ENST00000504942	Q9UQ26	RIMS2_HUMAN
ENST00000504953	Q9BQ16	TICN3_HUMAN
ENST00000504986	P57088	TMM33_HUMAN
ENST00000504988	O95925	EPPI_HUMAN
ENST00000505019	Q86YA3	ZGRF1_HUMAN
ENST00000505035	A0A5F9ZHF3	A0A5F9ZHF3_HUMAN
ENST00000505113	A0A6Q8PH81	A0A6Q8PH81_HUMAN
ENST00000505118	P54107	CRIS1_HUMAN
ENST00000505139	B4DXG7	B4DXG7_HUMAN
ENST00000505354	Q14409	GLPK3_HUMAN
ENST00000505374	Q9NQI0	DDX4_HUMAN
ENST00000505406	Q9NZF1	PLAC8_HUMAN
ENST00000505416	Q8N945	PRLD2_HUMAN
ENST00000505459	P09132	SRP19_HUMAN
ENST00000505490	E9PB61	E9PB61_HUMAN
ENST00000505553	A5PLN9	TPC13_HUMAN
ENST00000505560	Q7Z3T8	ZFY16_HUMAN
ENST00000505618	Q15669	RHOH_HUMAN
ENST00000505658	O95232	LC7L3_HUMAN
ENST00000505747	Q9BTF0	THUM2_HUMAN
ENST00000505797	A0A1B0GWB0	A0A1B0GWB0_HUMAN
ENST00000505802	H0Y9J4	H0Y9J4_HUMAN
ENST00000505818	Q9P0J6	RM36_HUMAN
ENST00000505916	Q9P2M1	LR2BP_HUMAN
ENST00000505920	Q7Z4Y8	AT5L2_HUMAN
ENST00000506030	Q96RT1	ERBIN_HUMAN
ENST00000506151	D6RJB6	U17LK_HUMAN
ENST00000506184	Q86WP2	GPBP1_HUMAN
ENST00000506197	Q8N5G0	SIM20_HUMAN
ENST00000506237	P53999	TCP4_HUMAN
ENST00000506351	Q92973	TNPO1_HUMAN
ENST00000506382	A0A1W2PRP0	FOXL3_HUMAN
ENST00000506414	D6R901	U17LL_HUMAN
ENST00000506447	Q8TEP8	CE192_HUMAN
ENST00000506455	Q02108	GCYA1_HUMAN
ENST00000506502	U3KPZ7	U3KPZ7_HUMAN
ENST00000506599	A0A087WWA1	P3URF_HUMAN
ENST00000506618	P21108	PRPS3_HUMAN
ENST00000506618	A0A0B4J207	A0A0B4J207_HUMAN
ENST00000506619	D6RBM5	U17LN_HUMAN
ENST00000506729	Q86UG4	SO6A1_HUMAN
ENST00000506757	Q96Q91	B3A4_HUMAN
ENST00000506796	H0Y8G0	H0Y8G0_HUMAN
ENST00000506823	Q49A17	GLTL6_HUMAN
ENST00000506868	P59544	T2R50_HUMAN
ENST00000506970	F1T0J4	F1T0J4_HUMAN
ENST00000507110	Q9NP92	RT30_HUMAN
ENST00000507116	Q08499	PDE4D_HUMAN
ENST00000507142	Q96PY6	NEK1_HUMAN
ENST00000507152	P0DMC3	ELA_HUMAN
ENST00000507166	A0A0B4J203	A0A0B4J203_HUMAN
ENST00000507227	A8MUK1	U17L5_HUMAN
ENST00000507311	A0A1B0GVY4	SIM31_HUMAN
ENST00000507450	A6NHP3	SPE2B_HUMAN
ENST00000507469	Q92540	SMG7_HUMAN
ENST00000507492	D6R9L8	D6R9L8_HUMAN
ENST00000507606	E0CX11	STMP1_HUMAN
ENST00000507668	Q86VE9	SERC5_HUMAN
ENST00000507680	O14610	GBGT2_HUMAN
ENST00000507747	H0YAE9	H0YAE9_HUMAN
ENST00000507824	E7ESC9	E7ESC9_HUMAN
ENST00000507827	O95237	LRAT_HUMAN
ENST00000507866	Q96PQ0	SORC2_HUMAN
ENST00000507918	Q495Y8	SPDE2_HUMAN
ENST00000507958	Q13634	CAD18_HUMAN
ENST00000508048	Q6ZMR5	TM11A_HUMAN
ENST00000508053	P35556	FBN2_HUMAN
ENST00000508064	Q2VPA4	CR1L_HUMAN
ENST00000508164	Q96FV3	TSN17_HUMAN
ENST00000508190	P31274	HXC9_HUMAN
ENST00000508244	Q9H799	CPLN1_HUMAN
ENST00000508296	D6RF84	D6RF84_HUMAN
ENST00000508394	Q53HV7	SMUG1_HUMAN
ENST00000508487	P19875	CXCL2_HUMAN
ENST00000508593	Q92870	APBB2_HUMAN
ENST00000508632	Q56VL3	OCAD2_HUMAN
ENST00000508780	P35754	GLRX1_HUMAN
ENST00000508789	J3QTA6	J3QTA6_HUMAN
ENST00000508803	O96028	NSD2_HUMAN
ENST00000508856	A0A494C0U7	A0A494C0U7_HUMAN
ENST00000508859	P0C7U3	ZH11B_HUMAN
ENST00000508883	Q9NZM6	PK2L2_HUMAN
ENST00000508903	E9PDK2	E9PDK2_HUMAN
ENST00000508946	E7EW95	E7EW95_HUMAN
ENST00000509111	H0Y8X5	H0Y8X5_HUMAN
ENST00000509129	P0DSN7	KVD37_HUMAN
ENST00000509156	P52739	ZN131_HUMAN
ENST00000509176	Q9C0I3	CCSE1_HUMAN
ENST00000509271	Q0WX57	U17LO_HUMAN
ENST00000509305	D6R934	D6R934_HUMAN
ENST00000509311	A6NCC3	GOG8O_HUMAN
ENST00000509356	P0DTF9	PTIP2_HUMAN
ENST00000509403	A0A1B0GTH9	A0A1B0GTH9_HUMAN
ENST00000509479	Q96JK9	MAML3_HUMAN
ENST00000509504	K7N7A8	K7N7A8_HUMAN
ENST00000509580	H0Y8R2	H0Y8R2_HUMAN
ENST00000509660	Q0WX57	U17LO_HUMAN
ENST00000509663	A0A6Q8PGD0	A0A6Q8PGD0_HUMAN
ENST00000509734	O75943	RAD17_HUMAN
ENST00000509841	Q96KP6	TNIP3_HUMAN
ENST00000509867	O75179	ANR17_HUMAN
ENST00000509910	O94817	ATG12_HUMAN
ENST00000510025	P51659	DHB4_HUMAN
ENST00000510118	F2Z2J1	F2Z2J1_HUMAN
ENST00000510175	Q3SXZ3	ZN718_HUMAN
ENST00000510439	A6NEF3	GG6L4_HUMAN
ENST00000510508	P55073	IOD3_HUMAN
ENST00000510585	Q6ZNX1	SHLD3_HUMAN
ENST00000510636	Q9BYE9	CDHR2_HUMAN
ENST00000510708	Q8NBA8	DTWD2_HUMAN
ENST00000510838	A0A1W2PQ09	TFKLK_HUMAN
ENST00000510861	P47869	GBRA2_HUMAN
ENST00000510882	Q5TGJ6	HDGL1_HUMAN
ENST00000511113	A6NG13	MGT4D_HUMAN
ENST00000511148	A0PK11	CLRN2_HUMAN
ENST00000511190	Q9BXU7	UBP26_HUMAN
ENST00000511216	Q2YD98	UVSSA_HUMAN
ENST00000511217	Q8TEC5	SH3R2_HUMAN
ENST00000511280	D6RA61	U17LM_HUMAN
ENST00000511320	Q96RL1	UIMC1_HUMAN
ENST00000511367	Q9NRR4	RNC_HUMAN
ENST00000511437	Q6P4H8	ACKMT_HUMAN
ENST00000511455	Q6ZTN6	AN13D_HUMAN
ENST00000511533	D6RAR4	D6RAR4_HUMAN
ENST00000511568	D6RBQ6	U17LH_HUMAN
ENST00000511577	Q5H9U9	DDX6L_HUMAN
ENST00000511601	Q9C0D6	FHDC1_HUMAN
ENST00000511664	E9PF82	E9PF82_HUMAN
ENST00000511681	Q0WX57	U17LO_HUMAN
ENST00000511685	Q9P273	TEN3_HUMAN
ENST00000511751	Q9BS18	APC13_HUMAN
ENST00000511817	Q13426	XRCC4_HUMAN
ENST00000511828	D6RIA3	CD054_HUMAN
ENST00000511833	Q8TF20	ZN721_HUMAN
ENST00000511885	Q7Z5Q5	DPOLN_HUMAN
ENST00000511912	Q16134	ETFD_HUMAN
ENST00000512047	D6RGX4	F90AP_HUMAN
ENST00000512055	Q96A23	CPNE4_HUMAN
ENST00000512104	Q86VS3	IQCH_HUMAN
ENST00000512123	Q86XX4	FRAS1_HUMAN
ENST00000512132	Q8NB50	ZFP62_HUMAN
ENST00000512158	A0A0C4DGC1	A0A0C4DGC1_HUMAN
ENST00000512175	P0DJG4	THEGL_HUMAN
ENST00000512194	H0Y8G9	H0Y8G9_HUMAN
ENST00000512227	A0A1W2PPL8	TFKLN_HUMAN
ENST00000512369	Q9UN19	DAPP1_HUMAN
ENST00000512439	Q13106	ZN154_HUMAN
ENST00000512467	Q68DU8	KCD16_HUMAN
ENST00000512524	P0CJ72	HMN5_HUMAN
ENST00000512528	Q5HYI7	MTX3_HUMAN
ENST00000512576	P22234	PUR6_HUMAN
ENST00000512626	D6RF30	GOG8K_HUMAN
ENST00000512729	Q8N7C3	TRIMM_HUMAN
ENST00000512733	Q6TCH7	PAQR3_HUMAN
ENST00000512783	Q9H0N5	PHS2_HUMAN
ENST00000512805	P63244	RACK1_HUMAN
ENST00000512905	H0YA22	H0YA22_HUMAN
ENST00000512921	G5E9Z4	G5E9Z4_HUMAN
ENST00000512944	O60645	EXOC3_HUMAN
ENST00000512953	Q1W4C9	ISK13_HUMAN
ENST00000513000	O15327	INP4B_HUMAN
ENST00000513042	Q8N1W1	ARG28_HUMAN
ENST00000513063	Q9BW11	MAD3_HUMAN
ENST00000513104	Q9HCX4	TRPC7_HUMAN
ENST00000513200	Q8IV33	K0825_HUMAN
ENST00000513209	V9GYH0	V9GYH0_HUMAN
ENST00000513312	D6RGH6	MCIN_HUMAN
ENST00000513398	Q08043	ACTN3_HUMAN
